uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,date_time,dataset,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,RidgeClassifier_alpha,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SVC_degree
random_over,minmax,0.5,rf,6325413,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.920911528150134,0.9684931506849316,0.9480539527085088,0.018900192135242,0.9874301675977654,0.9956772334293948,0.9914624318020784,0.0029007023866348,0.9541666666666668,0.9778699861687412,0.9691634464512754,0.0094992572211292,0.9997120183659274,0.9999126838947358,0.999838740016445,7.41107955493351e-05,0.996927303202007,0.9989730028575348,0.9981754534769276,0.0007493966654693,0.9928416485900216,0.9967914438502674,0.9953496757134628,0.0016058927510431,6545.0,7262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,entropy,58.0,7.0,5.0,382.0,
smote,minmax,1.0,rf,16934992,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.7432578209277239,0.8362183754993342,0.7905218504651712,0.0341502292256727,0.9818435754189944,0.9927953890489912,0.9888764198479698,0.0040404764592672,0.8500925354719309,0.907514450867052,0.8782128659698026,0.0207405693846404,0.99889468835348,0.9996076378147256,0.9992132498985266,0.0002620268736356,0.9908588501855888,0.9956247736488,0.9930322330865108,0.0018594369105411,0.9736785095320624,0.9863101604278076,0.9798001881260592,0.0044486229304444,7354.0,7937.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,balanced_subsample,gini,49.0,5.0,8.0,309.0,
adasyn,minmax,1.0,rf,17610750,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.7100103199174407,0.8077922077922078,0.7567134587443043,0.0336154037160361,0.9826224328593997,0.9913544668587896,0.9877176957682944,0.0031395709976538,0.8274203247143717,0.8866714183891661,0.8564583357579334,0.0206203176912542,0.9987819494459802,0.9991438512214929,0.998967226148782,0.000154711153374,0.9891596685655591,0.993242630091781,0.9913708828131398,0.0013858130973234,0.9689124783362218,0.9829946524064171,0.9756281524161932,0.0048105637740972,3841.0,4669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,balanced_subsample,gini,476.0,5.0,8.0,15.0,
smote,minmax,0.8,rf,25570997,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.6621490803484995,0.727803738317757,0.6977596392714337,0.0252003742704293,0.984149855907781,0.9874804381846636,0.985212031077834,0.0012464252825668,0.7921250723798494,0.8368032236400269,0.8166719743641521,0.0171439794263458,0.9980495328410603,0.998795074205018,0.9983729660527564,0.0002506679897696,0.9840545370092588,0.9885922891441312,0.9864796322980004,0.0014527829402175,0.9611135181975736,0.9740106951871658,0.9675920869682072,0.0044972696901381,5333.0,6164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,balanced_subsample,entropy,406.0,6.0,7.0,39.0,
adasyn,minmax,0.3,rf,8799181,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.9293078055964654,0.9767054908485856,0.9567003378225134,0.0188067183540048,0.8980446927374302,0.9273301737756714,0.9144559856011956,0.0102309754756691,0.919155134741442,0.9513776337115072,0.934978420833636,0.01036590502405,0.9981382595769104,0.9993461234344252,0.9986937879022498,0.0004251352259124,0.980975472761452,0.9921739949123564,0.9864474327298164,0.0037173827578143,0.9879609544468546,0.9935828877005348,0.9906576404955546,0.0018652131549306,6686.0,7722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,gini,494.0,2.0,7.0,173.0,
smote,standard,0.8,knn,6230831,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.4507845934379458,0.4873200822481151,0.4743959217338157,0.0136227000246026,0.9884726224783862,0.9984202211690364,0.99295124866033,0.0033794477911379,0.6211302211302211,0.6537931034482758,0.641908452693903,0.0121054073571442,0.9969972556493428,0.9986011789713444,0.997520436841502,0.0005623300854767,0.9836058896538312,0.991627605072077,0.9864124640763856,0.0027410568483095,0.9175401069518716,0.921400693842151,0.919300510709461,0.0014557911605891,5.0,5.0,,,,,,,,,,,,,,minkowski,4.0,uniform,,,,,,,,,,,,,,,,,,,
smote,standard,1.0,rf,31957693,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.5680672268907563,0.6620320855614973,0.6061466288058963,0.0352917019191079,0.9654178674351584,0.9796557120500784,0.9752140711515448,0.0052698768995224,0.7176220806794055,0.7895408163265306,0.7470798237678979,0.0275439782669236,0.995044024240166,0.99690079181045,0.9959284810754804,0.0007630135505105,0.9644339325347466,0.9748512730708748,0.969739583056173,0.004135673880331,0.9423743500866552,0.9647058823529412,0.9514324963954204,0.0080853937217222,8076.0,8649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,gini,188.0,8.0,8.0,244.0,
smote,minmax,1.0,rf,12817326,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.5483091787439613,0.631525076765609,0.5842027163680831,0.028366861378808,0.9608938547486032,0.9812680115273776,0.9720291986330902,0.0069154149812362,0.7035123966942148,0.7664596273291926,0.7293461234761462,0.0214792095558691,0.9935158430729004,0.996238578681123,0.9950488555022332,0.0009355406137429,0.9577756427890044,0.9667870218738334,0.9635115776523946,0.0036969541224463,0.9378249566724436,0.9597860962566844,0.9470279808302297,0.0074342951348535,7775.0,8366.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,balanced_subsample,gini,334.0,8.0,7.0,170.0,
smote,standard,0.5,rf,24045989,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.5398089171974523,0.6187624750499002,0.5737074627191106,0.0286227368884507,0.9740634005763688,0.9812206572769951,0.9784278210763822,0.0026151198661137,0.6953846153846154,0.7584097859327216,0.7229110512807515,0.0230405976820267,0.9944374251737862,0.9972085197506788,0.9957271252272752,0.0010625117104329,0.9539011958499136,0.9730093834607312,0.9631631834309572,0.0069201593843287,0.9356585788561526,0.9577540106951872,0.9449307729549205,0.0078161992302735,8102.0,8673.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,balanced,gini,34.0,7.0,2.0,348.0,
random_over,standard,0.1,rf,20336984,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",2022-05-04-1150-40,milling,0.7130977130977131,0.8760563380281691,0.7928454251311458,0.0596926910660193,0.9826224328593997,0.9884726224783862,0.9857517737966608,0.00213680108624,0.8285024154589373,0.9262844378257632,0.8775633542488261,0.0363815062170827,0.9952357967931283,0.9986969588396664,0.9969310932946608,0.0014212766113763,0.9428090312127384,0.9803468997654844,0.9615114312282684,0.0153027569541571,0.9692374350086655,0.9894117647058824,0.979423270838763,0.007501589440476,7292.0,7993.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,balanced,gini,445.0,4.0,7.0,203.0,
