uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,RidgeClassifier_alpha,SVC_degree
,standard,1.0,sgd,31762937,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.0,0.1388888888888889,0.06012302625205851,0.05346777679515117,0.0,0.007898894154818325,0.0038586898479810367,0.0033884256803581704,0.0,0.014947683109118086,0.007228664765334231,0.006334404798625632,0.49126501713965937,0.7331770899784857,0.6209936334086883,0.07708585650986857,0.061474534443567125,0.14965351635834806,0.10477024622352363,0.028234023675269237,0.9191941074523396,0.930724197745013,0.9246888044178933,0.004883083121301979,9220.0,9350.0,0.0,True,0.3031371708368463,optimal,modified_huber,elasticnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smote,minmax,0.1,xgb,18045195,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,9193.0,9322.0,,,,,,,0.5,0.7,aucpr,0.5,21,binary:logistic,87,49235,,,,,,,,,,,,,,,,,,,,,
random_under,minmax,0.1,rf,2162683,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.7894736842105263,0.9125,0.823140286848508,0.04518058862133622,0.10195530726256984,0.329971181556196,0.20591886513032015,0.09464815047679502,0.1834170854271357,0.4678243105209397,0.3170990084137358,0.1179120654837436,0.9667242629934811,0.9698029250763266,0.9679908618893925,0.001273618626226211,0.6512975755140322,0.7203918519087423,0.6856876660697713,0.025882076909049655,0.9297601037389237,0.9435658578856152,0.9386842076498778,0.00481913472383148,8691.0,9174.0,,,,,,,,,,,,,,,True,,entropy,489,8,8,332,,,,,,,,,,,,,,
random_over,standard,0.7,rf,22243743,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.651928504233302,0.8197146562905318,0.7287549689392071,0.06509138197064841,0.9942363112391931,1.0,0.9979637924346669,0.0019499736182613141,0.7888446215139442,0.9002849002849003,0.8407670208571775,0.043908515078671315,0.9993204377050433,0.9998903560636994,0.9996691375588764,0.00021071794178538928,0.993661738754293,0.9986010060929603,0.9965641465468436,0.0018657470309585665,0.9598136915077989,0.9850267379679144,0.971698707541311,0.009879536555495533,7933.0,8610.0,,,,,,,,,,,,,,,True,balanced,entropy,337,6,9,453,,,,,,,,,,,,,,
random_over,standard,0.5,sgd,3293386,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.087248322147651,0.197459584295612,0.13886444316999147,0.04100274298591023,0.018731988472622477,0.24639769452449567,0.11964105234856351,0.09141800221905656,0.030842230130486356,0.21923076923076923,0.11826288357939388,0.07392420318776309,0.6574812232493714,0.7540954390711672,0.7001175973987344,0.03432767944904816,0.11021106376201856,0.16193624523947983,0.1324503141437315,0.017715425529195625,0.867736339982654,0.9113882863340564,0.8910238968968631,0.019203584816397345,9220.0,9350.0,0.0,True,0.3678458767289724,optimal,log,elasticnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,0.8,svm,6942601,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.13547052740434332,0.18376928236083165,0.15815375193445308,0.017489624555444002,0.6208530805687204,0.7896253602305475,0.7033735905401561,0.054641931295873095,0.22241086587436332,0.2981501632208922,0.25815586092529863,0.026814512111114203,0.7405592493178061,0.8118973796075588,0.7730211159922791,0.02550000706801472,0.14270238345918357,0.20857928972907158,0.17684747036152068,0.022375497383810488,0.6911318300086731,0.7205372616984402,0.70475483410264,0.010972254320216777,9212.0,9350.0,,,,,,,,,,,,,,,,,,,,,,1.95,rbf,25000,False,,,,,,,,,,
random_under,minmax,0.7,xgb,19883256,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.16746031746031745,0.2352542372881356,0.1982431851625145,0.025049772704407967,1.0,1.0,1.0,0.0,0.28687967369136635,0.3809001097694841,0.33016341936841787,0.03474686904084296,0.9647453477742141,0.9693571655035859,0.9680722547705422,0.0017359592742945008,0.49943194709791794,0.5735926783224327,0.5438309042888669,0.02649768453429938,0.6634224598930482,0.755632582322357,0.7009736884621459,0.03511480077313295,9168.0,9316.0,,,,,,,1.5,0.7,aucpr,1,54,binary:logistic,90,60760,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,standard,0.8,xgb,10280722,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.15571955719557196,0.22257857601026299,0.18905288197179818,0.023411380745278883,1.0,1.0,1.0,0.0,0.2694763729246488,0.36411332633788035,0.31733642459092426,0.033149946645504164,0.9638388104578076,0.9726874236230308,0.9676545797054923,0.0032162124739165093,0.5502595858051412,0.5821797359455176,0.5630830847366299,0.010995349262988124,0.6329411764705882,0.7374350086655113,0.6830885543621407,0.0357895982614251,9208.0,9342.0,,,,,,,0.5,0.1,error,0.5,53,binary:logistic,16,3652,,,,,,,,,,,,,,,,,,,,,
,standard,0.7,rf,11529307,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.9696048632218845,0.9847328244274809,0.9773100964626693,0.00502054026005826,0.2037914691943128,0.4596541786743516,0.3060718660255735,0.10448639488842779,0.337696335078534,0.6236559139784946,0.45631994035023365,0.11705770244223355,0.9902219757027327,0.9950073044609133,0.9927505773470591,0.0018440702559592796,0.892641571904536,0.9304310156944146,0.9107823418483261,0.014680508685491013,0.9401339961097903,0.9582972270363952,0.9490192059715742,0.0064775555246584645,7426.0,8081.0,,,,,,,,,,,,,,,False,,entropy,460,8,4,492,,,,,,,,,,,,,,
adasyn,minmax,0.8,nb,7915424,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.0954861111111111,0.12554471882133222,0.11074214508338706,0.009843466866120866,0.8622848200312989,0.9063400576368876,0.88062318167472,0.016668900749427857,0.1720631941185672,0.2194812261926356,0.1965973904103725,0.015624841611086538,0.6899340160979046,0.7736696531458279,0.73384205402918,0.028631319250664932,0.10855683747905523,0.19480496726889834,0.15273829896704783,0.028184497845415796,0.42997622649665007,0.5339038128249567,0.4726374213215186,0.0389763789456068,9181.0,9337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
